3.141412e+00,5.649018e-02,1,10000000
3.140991e+00,2.629900e-02,2,10000000
3.139909e+00,1.349998e-02,4,10000000
3.140701e+00,1.110291e-02,8,10000000
3.139808e+00,1.110601e-02,16,10000000
3.138266e+00,8.662939e-03,32,10000000
3.141146e+00,8.182049e-03,64,10000000
3.138150e+00,1.113892e-02,128,10000000
3.136205e+00,1.535392e-02,256,10000000
3.141412e+00,5.383801e-02,1,10000000
3.140991e+00,2.662706e-02,2,10000000
3.139909e+00,1.338315e-02,4,10000000
3.140701e+00,1.110888e-02,8,10000000
3.139808e+00,9.187937e-03,16,10000000
3.138266e+00,8.576870e-03,32,10000000
3.141146e+00,8.222103e-03,64,10000000
3.138150e+00,1.044106e-02,128,10000000
3.136205e+00,1.606989e-02,256,10000000
3.141412e+00,5.354595e-02,1,10000000
3.140991e+00,2.673197e-02,2,10000000
3.139909e+00,1.336193e-02,4,10000000
3.140701e+00,1.107311e-02,8,10000000
3.139808e+00,9.121180e-03,16,10000000
3.138266e+00,8.539915e-03,32,10000000
3.141146e+00,8.208036e-03,64,10000000
3.138150e+00,1.086497e-02,128,10000000
3.136205e+00,1.476192e-02,256,10000000
3.141412e+00,5.327582e-02,1,10000000
3.140991e+00,2.684498e-02,2,10000000
3.139909e+00,1.326823e-02,4,10000000
3.140701e+00,1.108193e-02,8,10000000
3.139808e+00,1.152492e-02,16,10000000
3.138266e+00,8.978128e-03,32,10000000
3.141146e+00,8.175135e-03,64,10000000
3.138150e+00,1.030588e-02,128,10000000
3.136205e+00,1.494098e-02,256,10000000
3.141412e+00,5.357599e-02,1,10000000
3.140991e+00,2.664399e-02,2,10000000
3.139909e+00,1.341009e-02,4,10000000
3.140701e+00,1.109409e-02,8,10000000
3.139808e+00,9.138107e-03,16,10000000
3.138266e+00,8.599997e-03,32,10000000
3.141146e+00,8.199930e-03,64,10000000
3.138150e+00,1.029015e-02,128,10000000
3.136205e+00,1.661801e-02,256,10000000
3.141412e+00,5.270195e-02,1,10000000
3.140991e+00,2.661514e-02,2,10000000
3.139909e+00,1.302314e-02,4,10000000
3.140701e+00,1.108003e-02,8,10000000
3.139808e+00,9.262085e-03,16,10000000
3.138266e+00,8.571148e-03,32,10000000
3.141146e+00,8.168936e-03,64,10000000
3.138150e+00,1.034403e-02,128,10000000
3.136205e+00,1.501298e-02,256,10000000
3.141412e+00,5.663705e-02,1,10000000
3.140991e+00,2.662516e-02,2,10000000
3.139909e+00,1.337600e-02,4,10000000
3.140701e+00,1.109123e-02,8,10000000
3.139808e+00,1.116490e-02,16,10000000
3.138266e+00,8.545876e-03,32,10000000
3.141146e+00,8.224964e-03,64,10000000
3.138150e+00,9.937048e-03,128,10000000
3.136205e+00,1.565385e-02,256,10000000
3.141412e+00,5.340290e-02,1,10000000
3.140991e+00,2.668881e-02,2,10000000
3.139909e+00,1.331282e-02,4,10000000
3.140701e+00,1.109600e-02,8,10000000
3.139808e+00,9.467125e-03,16,10000000
3.138266e+00,8.559942e-03,32,10000000
3.141146e+00,8.244038e-03,64,10000000
3.138150e+00,1.155806e-02,128,10000000
3.136205e+00,1.681399e-02,256,10000000
3.141412e+00,5.252600e-02,1,10000000
3.140991e+00,2.623296e-02,2,10000000
3.139909e+00,1.333785e-02,4,10000000
3.140701e+00,1.108503e-02,8,10000000
3.139808e+00,1.112604e-02,16,10000000
3.138266e+00,8.582115e-03,32,10000000
3.141146e+00,8.188963e-03,64,10000000
3.138150e+00,1.048183e-02,128,10000000
3.136205e+00,1.594901e-02,256,10000000
3.141412e+00,5.373716e-02,1,10000000
3.140991e+00,2.664709e-02,2,10000000
3.139909e+00,1.337504e-02,4,10000000
3.140701e+00,1.107597e-02,8,10000000
3.139808e+00,9.094000e-03,16,10000000
3.138266e+00,8.584023e-03,32,10000000
3.141146e+00,8.365870e-03,64,10000000
3.138150e+00,1.030588e-02,128,10000000
3.136205e+00,1.765203e-02,256,10000000
