3.141412e+00,5.651498e-02,1,10000000
3.140991e+00,2.632904e-02,2,10000000
3.139909e+00,1.351905e-02,4,10000000
3.140701e+00,1.119399e-02,8,10000000
3.139808e+00,9.139061e-03,16,10000000
3.138266e+00,8.556128e-03,32,10000000
3.141146e+00,8.156061e-03,64,10000000
3.138150e+00,1.728020e-01,128,10000000
3.136205e+00,1.604581e-02,256,10000000
3.141412e+00,5.599308e-02,1,10000000
3.140991e+00,2.667212e-02,2,10000000
3.139909e+00,1.330304e-02,4,10000000
3.140701e+00,1.114106e-02,8,10000000
3.139808e+00,1.118803e-02,16,10000000
3.138266e+00,8.508921e-03,32,10000000
3.141146e+00,8.564949e-03,64,10000000
3.138150e+00,1.092410e-02,128,10000000
3.136205e+00,1.421809e-02,256,10000000
3.141412e+00,5.352712e-02,1,10000000
3.140991e+00,2.667904e-02,2,10000000
3.139909e+00,1.348591e-02,4,10000000
3.140701e+00,1.105714e-02,8,10000000
3.139808e+00,1.112604e-02,16,10000000
3.138266e+00,8.512020e-03,32,10000000
3.141146e+00,8.121967e-03,64,10000000
3.138150e+00,9.920120e-03,128,10000000
3.136205e+00,1.538610e-02,256,10000000
3.141412e+00,5.383015e-02,1,10000000
3.140991e+00,2.536488e-02,2,10000000
3.139909e+00,1.297307e-02,4,10000000
3.140701e+00,1.115108e-02,8,10000000
3.139808e+00,9.104967e-03,16,10000000
3.138266e+00,8.529902e-03,32,10000000
3.141146e+00,8.135080e-03,64,10000000
3.138150e+00,9.994984e-03,128,10000000
3.136205e+00,1.617694e-02,256,10000000
3.141412e+00,5.377698e-02,1,10000000
3.140991e+00,2.684903e-02,2,10000000
3.139909e+00,1.284599e-02,4,10000000
3.140701e+00,1.108694e-02,8,10000000
3.139808e+00,9.078026e-03,16,10000000
3.138266e+00,8.558989e-03,32,10000000
3.141146e+00,8.624077e-03,64,10000000
3.138150e+00,1.141810e-02,128,10000000
3.136205e+00,1.525402e-02,256,10000000
3.141412e+00,5.512404e-02,1,10000000
3.140991e+00,2.647018e-02,2,10000000
3.139909e+00,1.346493e-02,4,10000000
3.140701e+00,1.109195e-02,8,10000000
3.139808e+00,9.092093e-03,16,10000000
3.138266e+00,8.543015e-03,32,10000000
3.141146e+00,8.118868e-03,64,10000000
3.138150e+00,1.261187e-02,128,10000000
3.136205e+00,1.466703e-02,256,10000000
3.141412e+00,5.353403e-02,1,10000000
3.140991e+00,2.663589e-02,2,10000000
3.139909e+00,1.273108e-02,4,10000000
3.140701e+00,1.108718e-02,8,10000000
3.139808e+00,9.124994e-03,16,10000000
3.138266e+00,8.513927e-03,32,10000000
3.141146e+00,8.143187e-03,64,10000000
3.138150e+00,1.039600e-02,128,10000000
3.136205e+00,1.618600e-02,256,10000000
3.141412e+00,5.221391e-02,1,10000000
3.140991e+00,2.672005e-02,2,10000000
3.139909e+00,1.273394e-02,4,10000000
3.140701e+00,1.108193e-02,8,10000000
3.139808e+00,1.206398e-02,16,10000000
3.138266e+00,8.545876e-03,32,10000000
3.141146e+00,8.195877e-03,64,10000000
3.138150e+00,1.085091e-02,128,10000000
3.136205e+00,1.694179e-02,256,10000000
3.141412e+00,5.324602e-02,1,10000000
3.140991e+00,2.666903e-02,2,10000000
3.139909e+00,1.305604e-02,4,10000000
3.140701e+00,1.108479e-02,8,10000000
3.139808e+00,9.073973e-03,16,10000000
3.138266e+00,8.526802e-03,32,10000000
3.141146e+00,8.134842e-03,64,10000000
3.138150e+00,1.013589e-02,128,10000000
3.136205e+00,1.437187e-02,256,10000000
3.141412e+00,5.554104e-02,1,10000000
3.140991e+00,2.674413e-02,2,10000000
3.139909e+00,1.329207e-02,4,10000000
3.140701e+00,1.108813e-02,8,10000000
3.139808e+00,1.065707e-02,16,10000000
3.138266e+00,9.135008e-03,32,10000000
3.141146e+00,8.342028e-03,64,10000000
3.138150e+00,9.428024e-03,128,10000000
3.136205e+00,1.449203e-02,256,10000000
